City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,New Norfolk,AU,-42.7826,147.0587,55.99,68,36,1.01,scattered clouds
184,Weyburn,CA,49.6668,-103.8511,-13.0,58,31,21.85,scattered clouds
185,Severo-Kurilsk,RU,50.6789,156.125,18.68,86,15,4.65,few clouds
186,Kiunga,PG,-6.1219,141.2906,74.53,97,100,2.35,overcast clouds
187,Itarema,BR,-2.9248,-39.9167,80.15,83,54,12.26,moderate rain
188,Goundi,TD,9.3627,17.366,71.65,19,55,4.92,broken clouds
189,Akyab,MM,20.15,92.9,63.3,65,0,8.86,clear sky
190,Saint Anthony,US,45.0205,-93.218,1.4,50,1,8.05,clear sky
191,Oum Hadjer,TD,13.2954,19.6966,72.37,18,93,10.11,overcast clouds
192,Tazovskiy,RU,67.4667,78.7,-14.91,88,39,5.32,scattered clouds
193,Bredasdorp,ZA,-34.5322,20.0403,62.6,88,10,5.75,clear sky
194,Salalah,OM,17.0151,54.0924,71.6,73,0,2.3,clear sky
195,Bodden Town,KY,19.2833,-81.25,82.4,74,20,12.66,few clouds
196,Gizo,SB,-8.103,156.8419,84.38,72,96,8.79,light rain
197,Marawi,PH,7.9986,124.2928,73.99,93,99,5.01,overcast clouds
198,The Valley,AI,18.217,-63.0578,82.4,69,20,11.5,few clouds
199,Pisco,PE,-13.7,-76.2167,77.0,69,0,19.57,clear sky
200,Camapua,BR,-19.5314,-54.0439,76.5,66,15,8.66,few clouds
201,Broome,US,42.2506,-75.833,21.99,35,1,4.61,clear sky
202,Kodiak,US,57.79,-152.4072,33.8,64,1,16.11,clear sky
203,Labrea,BR,-7.2586,-64.7981,85.53,70,99,2.13,heavy intensity rain
204,Komsomolskiy,UZ,40.4272,71.7189,46.4,81,90,2.3,mist
205,Marsh Harbour,BS,26.5412,-77.0636,76.28,81,9,9.84,clear sky
206,Masumbwe,TZ,-3.6333,32.1833,67.46,90,100,3.36,overcast clouds
207,Bilma,NE,18.6853,12.9164,67.53,21,100,6.02,overcast clouds
208,Englehart,CA,47.8169,-79.8664,12.2,57,20,14.97,light snow
209,Gonbad-E Qabus,IR,37.25,55.1672,44.6,93,0,0.63,clear sky
210,Mirnyy,RU,62.5353,113.9611,-9.54,91,100,4.18,overcast clouds
211,Adrar,MR,20.5022,-10.0711,62.47,28,13,9.33,few clouds
212,Cabo San Lucas,MX,22.8909,-109.9124,75.99,56,1,4.61,clear sky
213,Torbay,CA,47.6666,-52.7314,33.01,100,90,18.41,snow
214,Tuatapere,NZ,-46.1333,167.6833,54.45,93,100,9.55,light rain
215,Snyder,US,32.7179,-100.9176,55.4,44,1,3.67,clear sky
216,Boda,CF,4.3189,17.4695,70.66,23,82,2.01,broken clouds
217,Ustye,RU,59.6304,39.736,-4.65,92,64,5.35,broken clouds
218,Buala,SB,-8.145,159.5921,83.73,76,98,10.56,light rain
219,Burns Lake,CA,54.2331,-125.7533,-0.4,50,95,5.75,overcast clouds
220,Hithadhoo,MV,-0.6,73.0833,82.29,78,85,10.98,overcast clouds
